method,batch,prefill_tokens,decode_steps,phase,original_mean,replacement_mean,relative_reduction,pairs,block_length,ci_low,ci_high
bottleneck-eml-d1-s1103-n12000,1,128,32,prefill_seconds,0.05966045558452606,0.060674158732096355,-0.016991206950039084,30,5,-0.041293166887344857,0.00722865279763385
bottleneck-eml-d1-s1103-n12000,1,128,32,decode_seconds,1.3520038144662976,1.3615854658807318,-0.007087000282034461,30,5,-0.016306727639943785,0.0019517263518849803
bottleneck-eml-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.4116653044397631,1.4222606736545762,-0.0075055816569906675,30,5,-0.015942873421077364,0.0009205678073609391
bottleneck-eml-d1-s1103-n12000,1,128,32,prefill_gpu_ms,57.82412465413412,58.721212005615236,-0.015514067127637476,30,5,-0.043185637274336885,0.008862914232774417
bottleneck-eml-d1-s1103-n12000,1,128,32,decode_gpu_ms,1349.6488484700521,1359.214249674479,-0.007087325873889494,30,5,-0.016194142704434755,0.0019448930776367682
bottleneck-eml-d1-s1103-n12000,1,512,32,prefill_seconds,0.0633844435835878,0.0632912057141463,0.0014709897913444125,30,5,-0.020609254671548838,0.023676142948576562
bottleneck-eml-d1-s1103-n12000,1,512,32,decode_seconds,1.299455096013844,1.3182264278953273,-0.014445541011048002,30,5,-0.03428951004917358,0.00830971819601245
bottleneck-eml-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.3628405390928189,1.3815185963486631,-0.013705240429872534,30,5,-0.0322206781361305,0.007728569465576873
bottleneck-eml-d1-s1103-n12000,1,512,32,prefill_gpu_ms,61.00891939798991,60.905857467651366,0.0016892928338267943,30,5,-0.0205865343797067,0.024121733212001062
bottleneck-eml-d1-s1103-n12000,1,512,32,decode_gpu_ms,1297.4368489583333,1316.0173828125,-0.014320954325510726,30,5,-0.03413471947492286,0.008426323778983669
bottleneck-eml-d1-s1103-n12000,8,128,32,prefill_seconds,0.051643173272411025,0.05106170829385519,0.01125928059239667,30,5,-0.0187382732712551,0.04387273212193887
bottleneck-eml-d1-s1103-n12000,8,128,32,decode_seconds,1.2519159560402233,1.249830601674815,0.0016657303194730355,30,5,-0.0076875165250955835,0.011571871689207702
bottleneck-eml-d1-s1103-n12000,8,128,32,end_to_end_seconds,1.3035601865500213,1.3008933047453561,0.002045844781224271,30,5,-0.007532156184191896,0.012924237333084787
bottleneck-eml-d1-s1103-n12000,8,128,32,prefill_gpu_ms,50.98781026204427,50.38467305501302,0.011829047059121023,30,5,-0.01950838548350342,0.04629608601502144
bottleneck-eml-d1-s1103-n12000,8,128,32,decode_gpu_ms,1251.30703125,1249.1414103190104,0.001730687095097716,30,5,-0.007621816166393236,0.011642103631650635
bottleneck-eml-d1-s1103-n12000,8,512,32,prefill_seconds,0.07260943638781707,0.07230033315718173,0.004257066932517817,30,5,0.003094004061821032,0.005785207544542703
bottleneck-eml-d1-s1103-n12000,8,512,32,decode_seconds,1.2546700356528162,1.2528903779263298,0.0014184268978419956,30,5,-0.007932146125871897,0.011418448144696952
bottleneck-eml-d1-s1103-n12000,8,512,32,end_to_end_seconds,1.327280544489622,1.3251916597907742,0.0015738079696263618,30,5,-0.007278748223307652,0.011035683284719489
bottleneck-eml-d1-s1103-n12000,8,512,32,prefill_gpu_ms,72.55685094197591,72.24787851969401,0.004258349394586913,30,5,0.0030899619278981216,0.005769545890336603
bottleneck-eml-d1-s1103-n12000,8,512,32,decode_gpu_ms,1254.628263346354,1252.8540161132812,0.001414161696262628,30,5,-0.007938541417238381,0.011415271601325272
bottleneck-silu-d1-s1103-n12000,1,128,32,prefill_seconds,0.04720236963282029,0.04610455750177304,0.023257563965261907,30,5,-0.0016112207894301012,0.04698228521440584
bottleneck-silu-d1-s1103-n12000,1,128,32,decode_seconds,1.2504260316491127,1.2604011646782358,-0.007977387527647206,30,5,-0.02319118053217939,0.004606831871418637
bottleneck-silu-d1-s1103-n12000,1,128,32,end_to_end_seconds,1.2976293001323937,1.3065066310887534,-0.006841191822236192,30,5,-0.020748840071171726,0.0049599601699600315
bottleneck-silu-d1-s1103-n12000,1,128,32,prefill_gpu_ms,46.53281071980794,45.42809371948242,0.02374060331273453,30,5,-0.0014918516661426295,0.04749136189294012
bottleneck-silu-d1-s1103-n12000,1,128,32,decode_gpu_ms,1249.68212890625,1259.7760620117188,-0.008077200491218628,30,5,-0.02341753028423521,0.004570280392198206
bottleneck-silu-d1-s1103-n12000,1,512,32,prefill_seconds,0.0629261459534367,0.06351092271506786,-0.009293064953697971,30,5,-0.03617876588008273,0.018114718307237543
bottleneck-silu-d1-s1103-n12000,1,512,32,decode_seconds,1.3142006620143851,1.3170961460719506,-0.0022032282749937515,30,5,-0.01108277142727876,0.004972631656772308
bottleneck-silu-d1-s1103-n12000,1,512,32,end_to_end_seconds,1.3771277218436202,1.380608067351083,-0.0025272496169079783,30,5,-0.012060376504134718,0.0052565866257827665
bottleneck-silu-d1-s1103-n12000,1,512,32,prefill_gpu_ms,60.858490498860675,61.78826853434245,-0.015277704521757363,30,5,-0.04869073333940044,0.016872524615363926
